horizon_minutes,x_error_AE,y_error_AE,z_error_AE,satclockerror_AE,x_error_cumulative_MAE,y_error_cumulative_MAE,z_error_cumulative_MAE,satclockerror_cumulative_MAE
1215,3.9024441,4.3240776,4.689194,2.1582808,2.7347912394706113,2.289574013080126,2.731006227893594,2.220686917503675
1230,4.7049413,5.3079104,5.535613,1.5114905,2.758817459388477,2.3263829939249083,2.765208750236325,2.2120381802683924
1245,3.9878287,4.9796004,1.8082685,1.2761799,2.7736248241131563,2.35834946905274,2.7536793501980332,2.2007627794182443
1260,0.89278305,2.7056053,6.2201853,0.23118103,2.7512338505614373,2.36248346666495,2.79494727793194,2.177315377585945
1275,0.27593577,1.0907588,5.566002,3.6433232,2.722112696661669,2.3475220000042634,2.827547920451445,2.194562528238577
1290,1.440938,2.1228023,5.2200766,5.3739614,2.7072153164203776,2.344908979743026,2.8553680209226386,2.231532283127308
1305,0.7990629,0.2351926,4.9796023,4.350827,2.685282530113198,2.3206593661472716,2.8797845073129937,2.255891995012075
1320,0.29267108,0.746521,3.7204208,0.03737379,2.6580937636846844,2.302771430123936,2.889337192882191,2.2306815608489243
1335,1.3985684,1.8066701,0.00573349,0.33382908,2.6439417932140694,2.2971972575348416,2.8569371512766635,2.209368611570824
1350,2.4871745,1.7615973,4.03609,0.34240106,2.642199934522311,2.2912461466259426,2.870038848453098,2.1886245276365015
1365,2.69519,2.4043143,6.3523064,0.59301406,2.6427822424160254,2.2924886535812212,2.908305524469732,2.171090346689408
1380,0.44250202,0.89550054,1.2401289,0.58357435,2.61886615306139,2.2773040001807003,2.8901731695817863,2.1538347380802683
1395,3.424818,2.8625584,1.5524726,1.3270313,2.6275323023719173,2.283597057865512,2.875789292397038,2.1449443780446567
1410,1.9169532,2.3567955,0.7533399,0.52312106,2.6199729502835174,2.284375765222184,2.853210043399892,2.1276909384797227
1425,0.41746354,0.11984348,0.9519776,0.7159853,2.596788640712437,2.2615912148827,2.8331970704229255,2.112830879107902
